"","newcase.date","region","newcases","cases.per10k"
"2454",2020-06-28,"SUCRE",115,0.0226009130768883
"2455",2020-06-28,"TOLIMA",15,0.00294794518394195
"2456",2020-06-28,"VALLE DEL CAUCA",450,0.0884383555182586
"2457",2020-06-29,"AMAZONAS",2,0.000393059357858927
"2458",2020-06-29,"ANTIOQUIA",617,0.121258811899479
"2459",2020-06-29,"ARAUCA",10,0.00196529678929464
"2460",2020-06-29,"ATLÁNTICO",789,0.155061916675347
"2461",2020-06-29,"BOGOTÁ, D.C.",1139,0.223847304300659
"2462",2020-06-29,"BOLÍVAR",207,0.040681643538399
"2463",2020-06-29,"BOYACÁ",8,0.00157223743143571
"2464",2020-06-29,"CÓRDOBA",145,0.0284968034447722
"2465",2020-06-29,"CALDAS",1,0.000196529678929464
"2466",2020-06-29,"CAQUETÁ",19,0.00373406389965981
"2467",2020-06-29,"CASANARE",7,0.00137570775250624
"2468",2020-06-29,"CAUCA",39,0.00766465747824908
"2469",2020-06-29,"CESAR",35,0.00687853876253122
"2470",2020-06-29,"CHOCÓ",31,0.00609242004681337
"2471",2020-06-29,"CUNDINAMARCA",135,0.0265315066554776
"2472",2020-06-29,"HUILA",2,0.000393059357858927
"2473",2020-06-29,"LA GUAJIRA",44,0.0086473058728964
"2474",2020-06-29,"MAGDALENA",138,0.027121095692266
"2475",2020-06-29,"META",26,0.00510977165216605
"2476",2020-06-29,"NARIÑO",130,0.0255488582608303
"2477",2020-06-29,"NORTE DE SANTANDER",28,0.00550283101002498
