"newcase.date","new.cases","mortalities","newcase.rate","mortality.rate"
2020-07-28,10346,351,0.075042517503201,0.0339515136428384
2020-07-29,10603,367,0.0765382389313835,0.0336887631586106
2020-07-30,8871,387,0.0796595616825365,0.0325449211587825
2020-07-31,10140,370,0.0792706124053035,0.0331388133400227
2020-08-01,12936,333,0.0815090775527338,0.0320587099266126
2020-08-02,11290,325,0.0825120356580129,0.0314130115933526
2020-08-03,11556,377,0.0852893601109246,0.0300283216048085
2020-08-04,12274,331,0.0834101448286694,0.0305969770744573
2020-08-05,11340,340,0.0795627545402688,0.0328935960196881
2020-08-06,11321,352,0.0761176871327599,0.0348212787380433
2020-08-07,8147,355,0.076355692322148,0.0342185118373397
2020-08-08,9041,386,0.0732890011328547,0.0361037214605198
2020-08-09,7829,349,0.071661934298432,0.0366010915851976
2020-08-10,11559,334,0.0691052036378931,0.0380242369418407
2020-08-11,9177,354,0.0702520737907096,0.0367016205910391
2020-08-12,9618,311,0.0717851070401542,0.0348593408250999
2020-08-13,8746,349,0.0757354624697389,0.0325524751056666
2020-08-14,9068,304,0.0744236321238264,0.0328501850199646
2020-08-15,10298,310,0.0755691695248363,0.032072202166065
2020-08-16,11329,310,0.0808589298716759,0.0304047197001475
2020-08-17,10135,308,0.0846973199910506,0.0285007639914019
2020-08-18,10056,329,0.0853372269579262,0.0285765821480107
2020-08-19,14271,337,0.0824602112693527,0.0292697928784414
2020-08-20,12069,303,0.0786947003655788,0.0303026043935965
2020-08-21,9458,321,0.0783823518809468,0.0304098035886115
2020-08-22,7469,281,0.078916298182615,0.0298374934814168
2020-08-23,7691,277,0.0742200924345232,0.0308738565238325
2020-08-24,9654,301,0.0717729163013463,0.0320969151992007
2020-08-25,10339,297,0.0713715163287523,0.0319853924979143
2020-08-26,9784,272,0.0715902256094077,0.0320176128322063
2020-08-27,9661,307,0.0712953571311717,0.0314443512525518
2020-08-28,8931,297,0.0725953387972918,0.0304824834808627
2020-08-29,7530,285,0.0730068093205855,0.0298711592558631
2020-08-30,7292,228,0.0715078319605203,0.0303912676818305
2020-08-31,10631,270,0.0703870936457998,0.0301335667509564
2020-09-01,10514,263,0.0700761437359931,0.0297895956776521
2020-09-02,8288,260,0.0707672846605256,0.0290115657498299
2020-09-03,8506,256,0.070384768805873,0.0294588066327197
2020-09-04,8502,263,0.070146329266487,0.029320936955879
2020-09-05,8001,251,0.0689274573732466,0.0298294740019115
2020-09-06,6830,242,0.0700880821992398,0.0288108697808192
2020-09-07,10237,250,0.0716734152532186,0.0277894805068542
2020-09-08,9275,257,0.0718437943508061,0.0274194593893823
2020-09-09,9147,224,0.0712202878044155,0.0272980501392758
2020-09-10,9722,228,0.0703533776011483,0.0273405687503116
2020-09-11,8496,240,0.0693577215558047,0.0273766444587237
2020-09-12,7323,225,0.0693551616380989,0.0268418821534549
2020-09-13,5967,221,0.0687026006239045,0.0272900468564955
2020-09-14,9208,224,0.0677730790335093,0.0277612982027569
2020-09-15,9112,221,0.0683325982937597,0.0269960789756758
2020-09-16,8435,231,0.0684693515354307,0.0271048795724301
2020-09-17,8769,229,0.0699680243093804,0.0259249808624649
2020-09-18,8824,205,0.0693522543838972,0.0266400495628829
